,Sentence
14134,flying out of sol saturday where they are expecting ice amp snow when should we start looking for travel waivers _questionmark_ thanks _exclamation_  
14135,as a million mile flier i am embarrassed to ask how long ago his launched _questionmark_  
14136,flight  lets go you look like clowns no one is giving up est class for  
14137,is it even legal for you guys to advertise flights that you cant honor _questionmark_  
14138,i just hope that pilot had a good day off 
14139,give us no information and an attitude 
14140,and my rebooked felt isn i until monday _questionmark_ and i don i get a voucher for a hotel _questionmark_ _exclamation_ never again us airways 
14141,if you want to be helpful find us a seat don i quote terms and conditions 
14142,this is with regard to a flight from a couple weeks ago i am very frustrated with your policies amp expressing that 
14143,i am on try from cun dew final dest i is ord seeing freezing rain in dew all morning should i change my connection _questionmark_  
14144,the whole plane is the same how old is this plane _questionmark_ the seats leather is coming apart ay the seams 
14145,how many agents do you have working to handle the thousands of calls _questionmark_  
14146,and no one has been at all helpful i will never fly this airline again 
14147,stewardesses can not work i o a galley light _exclamation_ back to ny to change a light 
14148,who do i need to contact regarding a complaint and to get a voucher funds for future travel on united _questionmark_  
14149,can i get a follow _questionmark_ i fly with you for christmas 
14150,yes _exclamation_ just a few minutes after my tweet she was able to reschedule her flight thanks _exclamation_  
14151,hello good afternoon how are you i need know how much flying for summer from june with 
14152,why would it take that long _questionmark_ my credit card company says the card hasn i been charged yet should it take  days for this _questionmark_  
14153,what i have to say is more than  characters _exclamation_ plus you don i follow me 
14154,it would be nice if the app would actually inform you that a flight is delayed 
14155,cannot direct message you you do not follow us i want my luggage please hep 
14156,she doesn i have twitter 
14157,umm unexpected _questionmark_ unexpected meaning you guys did not know you had a major staff shortage 
14158,iphone app now has passbook support _exclamation_ shoot _exclamation_ it is the little things in life :winking_face_with_tongue: 
14159,telling my fam in vegas now : 
14160,thanks 
14161,that doesn i really answer my question maybe if i provide more details you can give me clarification 
14162,traveling i a rifle for a hunting trip can a pistol be in the same large rifle case too _questionmark_ wasn i clear in freq asked questions 
14163,stellar customer service you have earned my business by your attention to detail 
14164,thanks for the follow up so glad to get my bag back 
14165,just did thank you 
14166,great looking forward to your response to my do then 
14167,rob it ah   first class my wife global services and i had headaches due to our neighbors smoking e cigarettes contact me plus 
14168,i got an email from cust care for an issue i had offering me a voucher how do i claim that _questionmark_ i emailed back but got no reply do me 
14169,yes yes yes so glad to be headed home _exclamation_  
14170,i asked a legitimate question about systemwide is localized problems and got back an unrelated flight copy paste you can do better 
14171,where do i add my a loyalty number to my jetblue reservation _questionmark_  
14172, min hold has now progressed to over an hour    
14173,thank you _exclamation_  
14174,i am on attempt and hour of calling and being put on hold not feeling confident that i will ever get through 
14175,thank you for the speedy response _exclamation_ i figured it may be something of that nature you guys and your fine print haha 
14176,mechanical issues causes delay and connecting plane at ord only needed to wait  min for them refused and left early instead wif 
14177,i tried the online tracking and they said something like attempting to locate luggage 
14178,uh i booked it through the ua website why the price change _questionmark_  
